ST_B10,latitude,longitude,temperature_2m,Humidity,Wind_Speed,NDVI,NDBI,NDWI,,
40.65325232,17.51692346,78.5502605,29.90903685,47.45303408,0.882811497,0.344151705,0.055237171,-0.433434919,,
42.99801404,17.29144633,78.52286188,29.94512766,47.48671738,0.874405406,0.559643473,-0.092763533,-0.517691096,,
43.08346454,17.36420986,78.57496417,30.15452944,47.29115994,0.905859426,0.390736611,-0.024287185,-0.397444017,,
45.08984228,17.33995535,78.33017325,29.68843086,48.08804472,0.736680552,0.318482581,0.055990233,-0.415728599,,
39.0433649,17.4868299,78.51792114,29.77357556,47.01103567,0.82392845,0.595530664,-0.190026653,-0.571685399,,
44.9052692,17.53084735,78.30861368,29.72920759,46.81250449,0.654259583,0.309839447,0.00870184,-0.372723584,,
48.58305872,17.31974326,78.58080321,30.1093608,47.5164543,0.926831332,0.305185956,0.018428343,-0.386668527,,
40.0687709,17.41765962,78.40563173,29.86728355,47.12764728,0.770703214,0.531741222,-0.221225545,-0.507765281,,
44.85058088,17.27482749,78.5947271,30.1093608,47.5164543,0.926831332,0.313037183,-0.035036803,-0.375582624,,
42.69381026,17.51602515,78.49681074,29.77357556,47.01103567,0.82392845,0.180181771,0.017454957,-0.26193385,,
43.12106276,17.2811157,78.52061609,29.94512766,47.48671738,0.874405406,0.50462899,-0.007634294,-0.48224024,,
45.00097376,17.37364217,78.4653697,29.97608364,47.0811341,0.848508279,0.114309539,0.057993508,-0.17099285,,
41.95209992,17.50210126,78.38497048,29.68316739,46.75500842,0.74540959,0.232042724,-0.038460331,-0.295678069,,
47.34573548,17.30312442,78.50489557,29.94512766,47.48671738,0.874405406,0.333185579,0.001268292,-0.43221275,,
43.43893862,17.49940631,78.35532608,29.68316739,46.75500842,0.74540959,0.216930325,-0.011914962,-0.271686792,,
43.11764474,17.50749115,78.34185135,29.72920759,46.81250449,0.654259583,0.294839328,0.012596715,-0.362440017,,
30.66579788,17.32603146,78.36161429,29.74529462,48.0243818,0.806763646,-0.000930115,-0.102372122,0.0900129,,
39.49796156,17.54207629,78.57047259,29.90903685,47.45303408,0.882811497,0.538704843,-0.011049696,-0.543307325,,
42.71090036,17.43203267,78.38541964,29.86728355,47.12764728,0.770703214,0.308687462,-0.054769135,-0.349077954,,
43.51755308,17.33007388,78.52241272,29.94512766,47.48671738,0.874405406,0.255334052,-0.015831239,-0.288395179,,
41.4359789,17.26719181,78.48962421,29.94512766,47.48671738,0.874405406,0.579887343,-0.09588191,-0.553139684,,
43.37741426,17.35163345,78.58798974,30.15452944,47.29115994,0.905859426,0.490585692,-0.007943461,-0.49663822,,
42.96383384,17.50569452,78.31041031,29.72920759,46.81250449,0.654259583,0.47826794,-0.087773118,-0.496397172,,
47.12014616,17.30222611,78.48468348,29.94512766,47.48671738,0.874405406,0.261805274,0.060557151,-0.327005731,,
44.97704762,17.53488977,78.35577524,29.68316739,46.75500842,0.74540959,0.126711858,0.060249364,-0.189013485,,
36.89684834,17.39924416,78.58349816,30.15452944,47.29115994,0.905859426,0.742827844,-0.36332393,-0.678403437,,
44.59422938,17.32648062,78.43303035,29.74529462,48.0243818,0.806763646,0.427323783,-0.057817479,-0.468173571,,
